,user,text,favorite_count,retweet_count,created_at
105,elonmusk,"@cb_doge @Tesla @mayemusk Still doing same thing, but bigger",59349,2229,2022-09-12 05:43:02+00:00
106,elonmusk,Looks good to roll out to all Tesla owners with 10.12.2 (~100k cars)!,20784,1022,2022-09-12 04:19:57+00:00
107,elonmusk,@Tesla__Mania @WholeMarsBlog That is probably the right order of magnitude,1971,94,2022-09-12 03:25:03+00:00
108,elonmusk,@WholeMarsBlog Real-world validation &amp; billions of miles of real-world training are what will make FSD superhuman,5055,432,2022-09-12 01:48:49+00:00
109,elonmusk,@Teslarati @JohnnaCrider1 Yup,19742,707,2022-09-12 01:20:59+00:00
110,elonmusk,@cb_doge @paraga Sigh,2246,126,2022-09-11 21:34:12+00:00
111,elonmusk,"FSD Beta 10.69.2 rolling out now. Please note that top priority is safety, so expect it to be overly cautious, especially around pedestrians.",47515,3334,2022-09-11 21:31:34+00:00
112,elonmusk,Falcon arching to orbit https://t.co/m7grug8FV9,181936,12148,2022-09-11 03:00:14+00:00
113,elonmusk,No obvious limit to rocket reflight so far https://t.co/rBrcyjxJea,46384,3502,2022-09-11 02:29:13+00:00
114,elonmusk,@Austen Instagram is an envy amplifier,83123,6969,2022-09-11 00:11:00+00:00
115,elonmusk,@DirtyTesLa @WholeMarsBlog Yes,2264,80,2022-09-10 21:09:13+00:00
116,elonmusk,"@WholeMarsBlog Team found a bug causing an 8% delay in detecting pedestrians at &gt;50m. That’s been fixed, so rolling out tonight.",4914,345,2022-09-10 20:46:49+00:00
117,elonmusk,@EvaFoxU 🔥🤣,2765,92,2022-09-10 17:20:36+00:00
118,elonmusk,@chicago_glenn @stevenmarkryan @WholeMarsBlog That’s pretty accurate,2600,105,2022-09-10 17:08:35+00:00
119,elonmusk,@stevenmarkryan @WholeMarsBlog Haha,2539,74,2022-09-10 17:01:49+00:00
120,elonmusk,Astronomy too,39471,1604,2022-09-10 17:00:13+00:00
121,elonmusk,"@WholeMarsBlog Internal beta rollout tonight, wider tomorrow",4879,335,2022-09-10 01:50:49+00:00
122,elonmusk,@WholeMarsBlog It’s coming!,13076,572,2022-09-10 01:09:38+00:00
123,elonmusk,Take Materials Science 101. You won’t regret it.,143523,10442,2022-09-09 23:52:33+00:00
124,elonmusk,A major Fed rate hike risks deflation,85505,6630,2022-09-09 23:40:48+00:00
125,elonmusk,@_bennettm_ Please lmk when that happens,3254,136,2022-09-09 22:32:27+00:00
126,elonmusk,"@TeslaGong Absolutely, the Tesla fleet in Australia is growing rapidly, so we do need to ramp up service in general",2702,124,2022-09-09 22:29:06+00:00
127,elonmusk,Tesla North America aiming for &gt;50% same hour service,39607,2582,2022-09-09 22:22:27+00:00
128,elonmusk,@andst7 🤣,10519,249,2022-09-09 22:19:06+00:00
129,elonmusk,@EvaFoxU @cb_doge @BillyM2k @cz_binance Anubis,1760,115,2022-09-09 21:49:28+00:00
130,elonmusk,"@BillyM2k @cz_binance Nice. I’m dressing up as a sink &amp; knocking on random doors. Once they see me, they will have no choice but to let that sink in.",32387,2217,2022-09-09 21:06:17+00:00
131,elonmusk,@SpaceX One of our most complex missions,20150,1075,2022-09-09 19:03:38+00:00
